Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code_2;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date;f_is_exchanged;f_invc_full_name;КВАЛ;Торговый календарь
1391;RUS0628;Министерство финансов Российской Федерации;Облигации;Облигации внешнего облигационного займа;;XS0088543193;DBFTCR;1,00;0,01;PCT;15.02.2018 0:00:00;;;НЕТ;Еврооблигации
1392;RVLV;Revolve Group, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US76156B1070;ESVUFR;1,00;0,01;USD;31.10.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1393;RWE@DE;RWE Aktiengesellschaft;Акции;Акции иностранного эмитента обыкновенные;;DE0007037129;ESVUFB;1,00;0,01;EUR;01.03.2021 0:00:00;;;НЕТ;Эмитенты с листингом в ФРГ
1394;RXRX;Recursion Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US75629V1044;ESVUFR;1,00;0,01;USD;09.07.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
1395;RY;Royal Bank of Canada;Акции;Акции иностранного эмитента обыкновенные;;CA7800871021;ESVTFR;1,00;0,01;USD;10.09.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
1396;RYN;Rayonier Inc.;Акции;Акции иностранного эмитента обыкновенные;;US7549071030;ESVUFR;1,00;0,01;USD;04.04.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1397;RYTM;Rhythm Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US76243J1051;ESVUFR;1,00;0,01;USD;11.06.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1398;RZD0527;RZD Capital P.L.C.;Облигации;Облигации иностранного эмитента;;XS1843437036;DAVNGR;1,00;0,01;PCT;27.01.2020 0:00:00;;;НЕТ;Еврооблигации
1399;S;SentinelOne, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US81730H1095;ESVUFR;1,00;0,01;USD;30.06.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
1400;SAGE;Sage Therapeutics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US78667J1088;ESVUFR;1,00;0,01;USD;05.08.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1401;SAH;Sonic Automotive, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US83545G1022;ESVUFR;1,00;0,01;USD;18.07.2022 0:00:00;;;НЕТ;Эмитенты с листингом в США
1402;SAIA;Saia, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US78709Y1055;ESVUFR;1,00;0,01;USD;11.06.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1403;SAIC;Science Applications International Corporation;Акции;Акции иностранного эмитента обыкновенные;;US8086251076;ESVUFR;1,00;0,01;USD;18.05.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
1404;SAM;The Boston Beer Company, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US1005571070;ESVUFR;1,00;0,01;USD;28.02.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1405;SAP;Deutsche Bank Trust Company Americas;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции обыкновенные;Депозитарные расписки Deutsche Bank Trust Company Americas, удостоверяющие права в отношении обыкновенных акций  SAP SE;US8030542042;EDSXFR;1,00;0,01;USD;03.05.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
1406;SAP@DE;SAP SE;Акции;Акции иностранного эмитента обыкновенные;;DE0007164600;ESVUFB;1,00;0,01;EUR;10.09.2021 0:00:00;;;НЕТ;Эмитенты с листингом в ФРГ
1407;SATS;EchoStar Corporation;Акции;Акции иностранного эмитента обыкновенные класса A;;US2787681061;ESVUFR;1,00;0,01;USD;03.09.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
1408;SAVA;Cassava Sciences, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US14817C1071;ESVUFR;1,00;0,01;USD;01.06.2021 0:00:00;;;НЕТ;Эмитенты с листингом в США
1409;SAVE;Spirit Airlines, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US8485771021;ESVUFR;1,00;0,01;USD;28.02.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1410;SBAC;SBA Communications Corporation;Акции;Акции иностранного эмитента обыкновенные класса A;;US78410G1040;ESVUFR;1,00;0,01;USD;04.12.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
1411;SBCF;Seacoast Banking Corporation of Florida;Акции;Акции иностранного эмитента обыкновенные;;US8117078019;ESVUFR;1,00;0,01;USD;31.10.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1412;SBGI;Sinclair Broadcast Group, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US8292261091;ESVUFR;1,00;0,01;USD;04.04.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1413;SBH;Sally Beauty Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US79546E1047;ESVUFR;1,00;0,01;USD;31.10.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1414;SBNY;Signature Bank;Акции;Акции иностранного эмитента обыкновенные;;US82669G1040;ESVUFR;1,00;0,01;USD;08.08.2022 0:00:00;;;НЕТ;Эмитенты с листингом в США
1415;SBRA;Sabra Health Care REIT, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US78573L1061;ESVUFR;1,00;0,01;USD;21.01.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
1416;SBUX;Starbucks Corporation;Акции;Акции иностранного эмитента обыкновенные;;US8552441094;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00;;;НЕТ;Эмитенты с листингом в США
1417;SCCO;Southern Copper Corporation;Акции;Акции иностранного эмитента обыкновенные;;US84265V1052;ESVUFR;1,00;0,01;USD;04.04.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1418;SCHW;The Charles Schwab Corporation;Акции;Акции иностранного эмитента обыкновенные;;US8085131055;ESVUFR;1,00;0,01;USD;26.10.2016 0:00:00;;;НЕТ;Эмитенты с листингом в США
1419;SCI;Service Corporation International;Акции;Акции иностранного эмитента обыкновенные;;US8175651046;ESVUFR;1,00;0,01;USD;04.12.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
1420;SCL;Stepan Company;Акции;Акции иностранного эмитента обыкновенные;;US8585861003;ESVUFR;1,00;0,01;USD;29.07.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
1421;SCSC;ScanSource, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US8060371072;ESVUFR;1,00;0,01;USD;04.04.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1422;SDGR;Schrodinger, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US80810D1037;ESVUFR;1,00;0,01;USD;29.07.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
1423;SEDG;SolarEdge Technologies, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US83417M1045;ESVUFR;1,00;0,01;USD;04.04.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1424;SEE;Sealed Air Corporation;Акции;Акции иностранного эмитента обыкновенные;;US81211K1007;ESVUFR;1,00;0,01;USD;14.06.2017 0:00:00;;;НЕТ;Эмитенты с листингом в США
1425;SEIC;SEI Investments Company;Акции;Акции иностранного эмитента обыкновенные;;US7841171033;ESVUFR;1,00;0,01;USD;31.01.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1426;SF;Stifel Financial Corp.;Акции;Акции иностранного эмитента обыкновенные;;US8606301021;ESVUFR;1,00;0,01;USD;18.05.2020 0:00:00;;;НЕТ;Эмитенты с листингом в США
1427;SFIX;Stitch Fix, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US8608971078;ESVUFR;1,00;0,01;USD;11.06.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1428;SFM;Sprouts Farmers Market, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US85208M1027;ESVUFR;1,00;0,01;USD;05.08.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1429;SFTL@GS;The Bank of New York Mellon;Депозитарные расписки;Депозитарные расписки иностранного эмитента на акции обыкновенные;Депозитарные расписки The Bank of New York Mellon, удостоверяющие права в отношении обыкновенных акций  Softline Holding PLC;US83407L2079;EDSXFR;1,00;0,01;USD;31.12.2021 0:00:00;;;НЕТ;Эмитенты с листингом на LSE
1430;SGEN;Seagen Inc.;Акции;Акции иностранного эмитента обыкновенные;;US81181C1045;ESVUFR;1,00;0,01;USD;05.08.2019 0:00:00;;;НЕТ;Эмитенты с листингом в США
1431;SGENperp;Societe Generale S.A.;Облигации;Облигации иностранного эмитента;;USF43628B413;DBVUQR;1,00;0,01;PCT;06.12.2017 0:00:00;;;ДА;Еврооблигации
